DatGeracaoConjuntoDados;SigAgenteFiscalizador;NumAutoInfracao;DatLavraturaAutoInfracao;NomNaturezaFiscalizacao;DscObjetoFiscalizado;CodObjetoFiscalizado;NomAgenteFiscalizado;NumCPFCNPJAgenteFiscalizado;NumProcessoPunitivo;NumProcessoPunitivoANEEL;DatRecebimentoAutoInfracao;DscTipoPenalidade;VlrPenalidade;DtRecebimentoRecurso;DatDecisaoJuizo;DscDecisaoCompletaJuizo;DscAtoJuizo;VlrMultaAposJuizo;DatDecisaoDiretoria;DscDecisaoCompletaDiretoria;DscAtoDiretoria;VlrMultaAposDiretoria;NumTermoEncerramento;DatLavraturaTE;DscEnquadramentoAI;NumTermoNotificacao;NumProcessoFiscalizacao
01/10/2023;AGEPAN;0001/2019-AGEPAN-SFE;22/03/2019;Indicadores de Continuidade;Não se aplica;Não se aplica;ENERGISA Mato Grosso do Sul - Distribuidora de Energia S/A - EMS;15413826000150;51/200.695/2018;;25/03/2019; Multa;813956,38;04/04/2019;10/06/2019;Recurso acatado totalmente;;;;;;;0002/2019-AGEPAN-SFE;09/07/2019; Multa do Grupo III Art. 6º;0001/2019-AGEPAN-SFE;51/200.695/2018
01/10/2023;AGER/ MT;0001/2019-AGER/ MT-SFE;29/03/2019;Comercial;Não se aplica;Não se aplica;ENERGISA Mato Grosso - Distribuidora de Energia S/A - EMT;3467321000199;590675/2018;;03/04/2019; Advertência / Multa;1236140,25;15/04/2019;;;;;;;;;;; Advertência Art. 3º / Multa do Grupo I Art. 4º / Multa do Grupo II Art. 5º / Multa do Grupo III Art. 6º / Multa do Grupo IV Art. 7º;0001/2019-AGER/ MT-SFE;590675/2018
01/10/2023;AGER/ MT;0001/2019-AGER/ MT-SFG;31/01/2019;1.02.05 - Procedimento Segurança de Barragens; ARS-PCH; PCH.PH.MT.000161-9.01;Tecnovolt Centrais Elétricas S/A;4766180000178;599652/2018;;06/02/2019; Multa;73220,98;17/02/2019;;Decisão anterior mantida / Recurso acatado parcialmente;;73220,98;;Decisão anterior mantida / Recurso acatado parcialmente;48575.006414/2021;73220,98;0001/2022-AGER/ MT-SFG;14/01/2022; Multa do Grupo III Art. 6º;1007/2018-AGER/ MT-SFG;599652/2018
01/10/2023;AGERGS;0001/2019-AGERGS-SFE;29/03/2019;Indicadores de Continuidade;Não se aplica;Não se aplica;Cia. Estadual de Distribuição de Energia Elétrica - Ceee-D - CEEE-D;8467115000100;001127-39.00/18-3;;06/05/2019; Multa;1148082,21;16/05/2019;0209-11-18;Recurso acatado parcialmente;;263423,97;08/01/2020;Recurso acatado parcialmente;48500.001298/2020;1148082,21;0001/2021-AGERGS-SFE;23/08/2021; Multa do Grupo III Art. 6º;1003/2018-AGERGS-SFE;001127-39.00/18-3
01/10/2023;AGERGS;0001/2019-AGERGS-SFG;03/10/2019;1.02.05 - Procedimento Segurança de Barragens; Furnas do Segredo-PCH; PCH.PH.RS.001009-0.01;Jaguari Energética S/A;4324226000107;001063-39.00/19-0;;07/10/2019; Multa;16357,67;;;;;;;;;;0002/2020-AGERGS-SFG;28/09/2020; Multa do Grupo III Art. 6º;0013/2019-AGERGS-SFG;001087-39.00/07-0
01/10/2023;AGR;0001/2019-AGR-SFE;14/02/2019;Técnica;Não se aplica;Não se aplica;CELG Distribuição S/A - CELG-D;1543032000104;201800029004725;;21/02/2019; Multa;7915238,22;01/03/2019;;;;;09/03/2021;Recurso acatado parcialmente;48500.003139/2019;7664760,05;0002/2021-AGR-SFE;27/10/2021; Multa do Grupo I Art. 4º / Multa do Grupo III Art. 6º;1001/2018-AGR-SFE;2,018E+14
01/10/2023;AGR;0001/2019-AGR-SFG;08/02/2019;1.01.01 - Procedimento da Fase Pré-Obras; Verde 02 Baixo-PCH; PCH.PH.GO.031768-3.01;Verde 2 Energética Ltda.;12434432000190;201900029001041;;22/02/2019; Multa;102605,15;;;;;;;;;;0001/2019-AGR-SFG;27/08/2019; Multa do Grupo III Art. 6º;1004/2018-AGR-SFG;2,018E+14
01/10/2023;ARCE;0001/2019-ARCE-SFE;27/02/2019;Indicadores de reclamações - DER e FER;Não se aplica;Não se aplica;Cia. Energetica do Ceara - ENEL CE;7047251000170;PCEE/CEE/0001/19;;28/02/2019; Multa;959585,18;11/03/2019;22/03/2019;Recurso acatado parcialmente;;730693,29;;;;;0001/2021-ARCE-SFE;14/04/2021; Multa do Grupo III Art. 6º;1002/2018-ARCE-SFE;PCEE/CEE/0005/18
01/10/2023;ARPB;0001/2019-ARPB-SFE;02/01/2019;Teleatendimento;Não se aplica;Não se aplica;ENERGISA Paraíba - Distribuidora de Energia S/A - EPB;9095183000140;211/2018;;03/01/2019; Multa;1909072,92;14/01/2019;22/01/2019;Recurso acatado parcialmente;;1904284,28;;;;;;; Multa do Grupo III Art. 6º;1001/2018-ARPB-SFE;211/2018
01/10/2023;ARPE;0001/2019-ARPE-SFE;22/11/2019;Comercial;Não se aplica;Não se aplica;Cia. Energética de Pernambuco - CELPE;10835932000108;003/19-CEE-ARPE;;22/11/2019; Advertência / Multa;11557861,74;03/12/2019;23/12/2019;Recurso acatado parcialmente;;5889900,61;;;;;;; Advertência Art. 3º / Multa do Grupo I Art. 4º / Multa do Grupo III Art. 6º;0001/2019-ARPE-SFE;003/19-CEE-ARPE
01/10/2023;ARSESP;0001/2019-ARSESP-SFE;30/01/2019;Indicadores de reclamações - DER e FER;Não se aplica;Não se aplica;EDP São Paulo Distribuição de Energia S/A - EDP SP;2302100000106;3028-2018;;04/02/2019; Multa;1350256,68;13/02/2019;;;;;03/04/2019;Recurso acatado parcialmente;;1108477,33;;; Multa do Grupo III Art. 6º;1004/2018-ARSESP-SFE;3028-2018
