id_bairro|bairro|id_cidade
0|-|0
25|Floresta Sul|16
29|Isaura Parente|16
36|Morada do Sol|16
45|Quinze|16
53|Taquarí|16
59|Alto do Cruzeiro|30
61|Baixão|30
67|Canafístula|30
79|Olho D'Água dos Cazuzinhos|30
81|Planalto|30
82|Zélia Barbosa Rocha|30
85|Santa Esmeralda|30
91|Antares|109
92|Barro Duro|109
93|Bebedouro|109
95|Benedito Bentes|109
100|Cruz das Almas|109
101|Farol|109
102|Feitosa|109
107|Jacarecica|109
108|Jacintinho|109
118|Poço|109
119|Ponta da Terra|109
120|Ponta Grossa|109
122|Pontal da Barra|109
124|Riacho Doce|109
126|Santa Amélia|109
129|Tabuleiro do Martins|109
130|Trapiche da Barra|109
133|Centro|135
140|São Cristóvão|135
144|Vila Maria|135
147|Adrianópolis|243
148|Aleixo|243
149|Alvorada|243
151|Armando Mendes|243
154|Centro|243
156|Cidade Nova|243
157|Colônia Antônio Aleixo|243
160|Colônia Terra Nova|243
161|Compensa|243
162|Coroado|243
164|Distrito Industrial I|243
165|Dom Pedro I|243
167|Flores|243
169|Japiim|243
170|Jorge Teixeira|243
172|Mauazinho|243
173|Monte das Oliveiras|243
177|Novo Israel|243
178|Parque 10 de Novembro|243
179|Paz|243
180|Petrópolis|243
183|Praça 14 de Janeiro|243
186|Raiz|243
187|Redenção|243
188|Santa Etelvina|243
190|Santo Agostinho|243
192|São Francisco|243
194|São Jorge|243
195|São José Operário|243
196|São Lázaro|243
198|Tancredo Neves|243
199|Tarumã|243
202|Zumbi dos Palmares|243
203|Centro|256
204|Djard Vieira|256
218|Congós|307
220|Jardim Felicidade|307
221|Jardim Marco Zero|307
222|Jesus de Nazaré|307
230|São Lázaro|307
240|Kennedy|342
245|Santa Terezinha|342
262|São Miguel|403
270|Vila Rica|403
279|Dois de Julho|473
282|Gleba B|473
308|Nova Brasília|489
318|Centro|579
319|Doutor Gusmão|579
322|Juca Rosa|579
324|Moisés Reis|579
328|Santa Lúcia|579
340|São João|582
341|Campo Limpo|582
345|Centro|582
349|Conceição|582
358|Jardim Cruzeiro|582
371|Pampalona|582
397|Rua Nova|582
398|Santa Mônica|582
399|Santo Antônio dos Prazeres|582
404|Calumbi|582
406|Tomba|582
408|Gabriela|582
422|Basílio|659
430|Conquista|659
441|Nelson Costa|659
463|Alto Maron|683
469|Centro|683
470|Centro Comercial|683
478|Jaçanã|683
490|Nova Califórnia|683
492|Nova Itabuna|683
495|Novo Horizonte|683
503|Pedro Gerônimo|683
510|São Caetano|683
547|Jequiezinho|749
548|Joaquim Romão|749
569|Alto da Maravilha|759
601|Tabuleiro|759
604|Abel Barbosa|909
617|Tancredo Neves I|909
619|Tancredo Neves III|909
623|Acupe de Brotas|988
630|Amaralina|988
632|Arenoso|988
639|Barbalho|988
645|Barroquinha|988
653|Bonfim|988
655|Brotas|988
658|Caixa D'Água|988
659|Cajazeiras|988
661|Calabetão|988
662|Calçada|988
664|Caminho de Areia|988
666|Campinas de Brotas|988
667|Campinas de Pirajá|988
668|Campo Grande|988
671|Candeal|988
672|Canela|988
673|Capelinha|988
675|Castelo Branco|988
682|Cidade Nova|988
686|Coutos|988
687|Curuzu|988
691|Engenho Velho de Brotas|988
692|Engenho Velho da Federação|988
696|Fazenda Coutos|988
698|Fazenda Grande do Retiro|988
699|Federação|988
706|Granjas Rurais Presidente Vargas|988
709|IAPI|988
714|Itaigara|988
716|Itapuã|988
729|Liberdade|988
730|Lobato|988
735|Marechal Rondon|988
737|Massaranduba|988
742|Mussurunga I|988
743|Nazaré|988
744|Nordeste|988
748|Palestina|988
750|Paripe|988
752|Patamares|988
754|Pau Miúdo|988
755|Bairro da Paz|988
758|Pernambués|988
759|Pero Vaz|988
760|Piatã|988
762|Pirajá|988
765|Pituba|988
767|Plataforma|988
771|Praia Grande|988
777|Rio Vermelho|988
781|Santa Cruz|988
786|São Cristóvão|988
788|São Gonçalo|988
790|São Marcos|988
792|São Tomé de Paripe|988
799|Stella Maris|988
800|Stiep|988
801|Sussuarana|988
803|Tancredo Neves|988
807|Uruguai|988
811|Valéria|988
817|Vila Ruy Barbosa|988
822|Centro|1006
836|Bela Vista|1078
839|Castelinho|1078
852|Nova Teixeira|1078
855|Santa Rita|1078
858|São Lourenço|1078
864|Vila Caraípe|1078
878|Boa Vista|1116
881|Brasil|1116
886|Bateias|1116
900|Ibirapuera|1116
920|Recreio|1116
933|Zabelê|1116
937|Araturi (Jurema)|1284
948|Icaraí|1284
950|Marechal Rondon (Jurema)|1284
951|Mestre Antônio|1284
952|Nova Metrópole (Jurema)|1284
961|Tabapuá|1284
969|Zacarias Gonçalves|1301
985|Pimenta|1301
989|São José|1301
991|Seminário|1301
1004|Barra do Ceará|1347
1005|Bela Vista|1347
1006|Benfica|1347
1008|Bom Jardim|1347
1009|Bonsucesso|1347
1014|Centro|1347
1017|Conjunto Ceará|1347
1018|Conjunto Esperança|1347
1019|Cristo Redentor|1347
1022|Dias Macedo|1347
1023|Dionisio Torres|1347
1026|Fátima|1347
1027|Parque Genibaú|1347
1028|Granja Portugal|1347
