id_cidade|cidade|uf|cod_ibge|area
16|Rio Branco|AC|1200401|8835.54
25|Alecrim (Pão de Açúcar)|AL|0|0
30|Arapiraca|AL|2700300|352
109|Maceió|AL|2704302|509.876
135|Palmeira dos Índios|AL|2706307|452.514
146|Pindoba|AL|2707008|117.595
232|Iranduba|AM|1301852|2214.25
233|Itacoatiara|AM|1301902|8892.04
238|Jutaí|AM|1302306|69551.8
241|Manacapuru|AM|1302504|7330.07
243|Manaus|AM|1302603|11401.1
256|Parintins|AM|1303403|5951.2
287|Calçoene|AP|1600204|14231.3
307|Macapá|AP|1600303|6502.12
316|Santana|AP|1600600|1569.4
317|São Joaquim do Pacuí (Macapá)|AP|0|0
342|Alagoinhas|BA|2900702|718.089
403|Barreiras|BA|2903201|7859.23
472|Camacan|BA|2905602|584.848
473|Camaçari|BA|2905701|784.658
484|Canarana|BA|2906204|576.374
489|Candeias|BA|2906501|258.357
579|Eunápolis|BA|2910727|1425.97
582|Feira de Santana|BA|2910800|1337.99
659|Ilhéus|BA|2913606|1584.69
677|Irará|BA|2914505|277.792
683|Itabuna|BA|2914802|401.028
723|Itarantim|BA|2916807|1674.14
749|Jequié|BA|2918001|3227.34
759|Juazeiro|BA|2918407|6500.69
904|Paripiranga|BA|2923803|435.707
909|Paulo Afonso|BA|2924009|1579.72
988|Salvador|BA|2927408|692.819
1006|Santo Antônio de Jesus|BA|2928703|261.348
1031|Saubara|BA|2929750|163.495
1078|Teixeira de Freitas|BA|2931350|1165.62
1108|Várzea Nova|BA|2933158|1192.93
1116|Vitória da Conquista|BA|2933307|3704.02
1180|Assaré|CE|2301604|1116.33
1274|Carrapateiras (Tauá)|CE|0|0
1284|Caucaia|CE|2303709|1228.51
1301|Crato|CE|2304202|1176.47
1347|Fortaleza|CE|2304400|314.93
1396|Iguatu|CE|2305506|1029.21
1409|Irapuã (Crateús)|CE|0|0
1451|Juazeiro do Norte|CE|2307304|248.832
1486|Maracanaú|CE|2307650|106.648
1488|Maranguape|CE|2307700|590.873
1556|Rafael Arruda (Sobral)|CE|0|0
