cep|logradouro|tipo_logradouro|complemento|local|id_cidade|id_bairro
01029901|Rua Florêncio de Abreu 157|||Edifício São Bento|9668|25279
01227200|Angélica|Avenida|- de 1711 ao fim - lado ímpar||9668|25422
01251000|Cardoso de Almeida|Rua|- de 1690 ao fim - lado par||9668|26525
01255010|Antonina|Rua|||9668|26525
01308040|São Miguel|Rua|||9668|25243
01311914|Avenida Paulista 777|||Edifício Viking|9668|25243
01332906|Alameda Rio Claro 190|||Edifício Humberto Primo|9668|25243
01416902|Rua da Consolação 3064|||Edifício Jardim América|9668|25280
01426040|das Estrelas Novas|Travessa|||9668|25280
01501001|Doutor João Mendes|Praça|- lado ímpar||9668|25279
01543000|Heitor Peixoto|Rua|- até 429/430||9668|25258
01546120|São João Del Rei|Rua|||9668|25633
02072001|Conceição|Avenida|- de 911/912 a 1573/1574||9668|25270
02084150|Articura|Rua|||9668|26807
02119020|Prefeito Milton Improta|Rua|- até 309/310||9668|26853
02123005|Manuel Lainez|Travessa|||9668|25820
02131040|Hiroshima|Rua|||9668|26851
02138000|Lourenço Billis|Praça|||9668|27006
02140030|Antionha|Rua|||9668|27006
02147015|Cláudio Leonardi|Praça|||9668|26379
02190080|João de Lara da Cunha|Rua|||9668|26379
02201020|Alípio de Sousa|Rua|||9668|26779
02207080|Carlos Alberto Luiz|Rua|||9668|26869
02209150|Ana Ferrara|Travessa|||9668|26869
02216060|Armando Paim|Rua|||9668|26869
02217020|Joaquim de Souza Pacheco Filho|Rua|||9668|26869
02221140|Carlos Cardin|Travessa|||9668|25559
02224010|Major Roberto dos Santos|Avenida|||9668|25559
02227310|Erotides de Campos|Praça|||9668|25559
02248001|Cruz de Malta|Rua|- de 681/682 ao fim||9668|26290
02280105|Halésia|Travessa|||9668|25559
02320160|Tríplice Aliança|Rua|||9668|26314
02354240|Salvador Álvares|Rua|||9668|26391
02357100|José Corrêa Gomes|Rua|||9668|26533
02360281|H|Rua|||9668|30573
02371020|Bias|Rua|||9668|26554
02375170|Luiz Janucci|Rua|||9668|26554
02408000|Antônio Zunkeller Leite|Praça|||9668|25220
02417122|Francisco Queirolo|Travessa|||9668|49533
02420030|Eduardo Zumkeller|Rua|||9668|26366
02435010|Diogo Grasson Tinoco|Rua|||9668|26263
02441070|Sion|Rua|||9668|26263
02467103|Padre Rosano Stofella|Travessa|||9668|25460
02468075|Pedro Romero|Travessa|||9668|26998
02472050|Aída Gomes Toledo|Rua|||9668|25460
02514050|Arpuí|Rua|||9668|25273
02516040|Padre Antônio D'Ângelo|Rua|||9668|25273
02545120|Isabela Leonarda|Travessa|||9668|25274
02551110|do Limão|Travessa|||9668|26265
02672010|Luiz Macário de Castro|Rua|||9668|26016
02757100|Icatuaçu|Rua|||9668|26596
02759040|André Martins|Rua|||9668|26545
02765080|Dirceu da Conceição Pinto|Rua|||9668|26782
02831040|Joaquim Vagliengo|Praça|||9668|25465
02832210|Crespo de Carvalho|Rua|||9668|26420
02871040|Cristóvão Santiago|Rua|||9668|25987
02873011|Salvador|Passagem|||9668|25399
02882140|Mário de Sá Carneiro|Rua|||9668|25594
02916010|José Rovira|Travessa|||9668|26600
02932010|Enrico Carafa|Rua|||9668|26954
02966000|São Urbano|Rua|||9668|27088
02968010|Nova Era|Rua|||9668|26878
02990325|Erasmus Lapicida|Travessa|(Cj Hab Cond Paraíso)||9668|25677
02994060|João Aires|Rua|||9668|36405
02997001|Nunes Chagas|Travessa|||9668|25434
03124070|Vitoantônio Del Vecchio|Rua|||9668|26323
03152030|Santa Cruz das Palmeiras|Rua|||9668|26459
03164120|Almirante Brasil|Rua|- até 499/500||9668|26276
03165901|Rua da Mooca 4214|||Rachib e Saliba S.A.|9668|26276
03169901|Rua Marcial 134|||Way Back Cobranças e Serviços LTDA|9668|26276
03192010|Clemente Bonifácio|Rua|||9668|26938
03223000|Susana|Rua|||9668|25790
03251090|Juvena|Rua|||9668|26796
03254210|Três Lagoas|Rua|||9668|27038
03265140|Santo Antônio do Ica|Rua|||9668|26701
03268070|Itapororoca|Rua|||9668|27073
03272040|Nicolino Guilherme Cândido|Rua|||9668|26364
03273120|Visconde de Goiana|Rua|||9668|27010
03324080|Dona Cândida|Rua|||9668|26766
03366000|Trumain|Avenida|||9668|26750
03382040|Basílio Viana Júnior|Rua|||9668|25282
03385060|Lázaro Gonçalves Fraga|Rua|||9668|26412
03408029|Waldemar Gardenghi|Rua|||9668|32128
03427010|Monte Mor|Rua|||9668|26649
03433000|Taubaté|Rua|||9668|26744
03441010|Odete Gomes Barreto|Rua|||9668|26649
03451000|Mariano Cursino de Moura|Rua|||9668|26371
03505020|Martim Damy|Rua|||9668|26586
03516060|Adauto de Assis|Rua|||9668|26867
03541005|Lions Clube de Vila Matilde|Praça|||9668|26777
03551060|Caicó|Rua|||9668|25354
03570310|Helena Ricceli Luchetti|Rua|||9668|26424
03572170|Macaóca|Rua|||9668|26115
03574060|Arrabalde da Ponte|Rua|||9668|26112
03579280|Francisco de Almada|Rua|||9668|25906
03581190|Domingos José Pelegi|Rua|||9668|25723
03583100|Ararandéua|Rua|||9668|25560
03607040|Tuapé|Rua|||9668|27034
03644003|Arthur Botelho|Travessa|||9668|26604
03651040|Cecília|Rua|||9668|26736
03688130|Santa Quitéria|Praça|||9668|25967
03693040|Frederick Hoffmann|Avenida|||9668|25610
03711007|Cangaíba|Avenida|- de 2381 a 2851 - lado ímpar||9668|25264
03712040|Luciano Antônio Rodrigues|Rua|||9668|25264
03716100|Domingos Belmonte|Rua|||9668|26028
03721036|Cesário Pereto|Viela|||9668|25430
03807160|Porcino dos Santos|Avenida|||9668|26941
03813390|Ida|Rua|||9668|27015
03906080|Antônio Alves Vilares da Silva|Praça|||9668|25567
03908010|Nello Selmi Dei|Rua|||9668|25978
03908020|Major-Brigadeiro Mário Castello Branco|Rua|||9668|25978
03934075|Peçanha|Rua|||9668|25786
03938171|Aníbal|Travessa|(Tanque)||9668|25999
03940070|Ibiracatu|Rua|||9668|26137
03977170|Soldado Teonilo de Souza|Rua|||9668|25386
03983110|Pacamum|Rua|||9668|26030
03986050|Tibúrcio de Freitas|Rua|||9668|26559
03987100|do Malvarisco|Rua|||9668|26969
04012902|Rua Pelotas 284|||Condomínio Edifício Skorpios|9668|26858
04020041|Coronel Lisboa|Rua|- de 517/518 ao fim||9668|26858
04023020|Doutor Ubirajara Martins de Souza|Travessa|||9668|26669
04030060|Crestuma|Rua|||9668|25458
04042010|Santa Generosa|Rua|||9668|26669
04052040|Ibaté|Rua|||9668|26274
04064004|Ireré|Avenida|- de 1603/1604 a 1971/1972||9668|26447
04087907|Alameda dos Anapurus 984|||Moema Personal Home|9668|25461
04152000|Elisa Silveira|Rua|||9668|27026
04164130|Peter Lely|Rua|||9668|26886
04181120|Araci|Rua|||9668|25895
04182900|Rua Góis Raposo 400|||Agaprint Informática Ltda|9668|45953
04193000|Frederico Bartholdi|Rua|||9668|26313
04213020|General Lecor|Rua|- até 701/702||9668|25464
04236060|São Vicente de Paula|Rua|||9668|25352
04236080|São Paulo|Rua|||9668|25352
04236260|Cristo Redentor|Rua|||9668|25352
04283050|Anatole France|Rua|||9668|26882
04289090|Capão da Serra|Rua|||9668|26623
04294040|Nhumirim|Rua|||9668|26500
04318100|Leucina|Rua|||9668|25362
04327055|Luiz Carlos Kakiuthi|Travessa|||9668|26739
04334150|Hildebrando Siqueira|Rua|||9668|26739
04339020|Luís Vicente de Simoni|Rua|||9668|25229
04339130|Francisco Semini|Travessa|||9668|25229
04378000|Santa Catarina|Avenida|- de 702 a 1360 - lado par||9668|26865
04384120|Tomasina|Rua|||9668|25817
04412070|Rio Grande do Sul|Rua|||9668|25229
04417070|Salvador Faria de Albernaz|Rua|||9668|25928
04431091|Wilson Marinho dos Santos|Travessa|||9668|26170
