Cep Inicial|Cep Final|Bairro|Cidade|Estado
01029901|01029901|Centro|São Paulo|SP
01227200|01227200|Consolação|São Paulo|SP
01251000|01255010|Sumaré|São Paulo|SP
01308040|01332906|Bela Vista|São Paulo|SP
01416902|01426040|Cerqueira César|São Paulo|SP
01501001|01501001|Centro|São Paulo|SP
01543000|01543000|Cambuci|São Paulo|SP
01546120|01546120|Jardim da Glória|São Paulo|SP
02072001|02072001|Carandiru|São Paulo|SP
02084150|02084150|Vila Isolina Mazzei|São Paulo|SP
02119020|02119020|Vila Maria Baixa|São Paulo|SP
02123005|02123005|Jardim Japão|São Paulo|SP
02131040|02131040|Vila Maria Alta|São Paulo|SP
02138000|02140030|Vila Sabrina|São Paulo|SP
02147015|02190080|Parque Novo Mundo|São Paulo|SP
02201020|02201020|Vila Gustavo|São Paulo|SP
02207080|02217020|Vila Medeiros|São Paulo|SP
02221140|02227310|Jardim Brasil (Zona Norte)|São Paulo|SP
02248001|02248001|Parada Inglesa|São Paulo|SP
02280105|02280105|Jardim Brasil (Zona Norte)|São Paulo|SP
02320160|02320160|Parque Casa de Pedra|São Paulo|SP
02354240|02354240|Parque Ramos Freitas|São Paulo|SP
02357100|02357100|Tremembé|São Paulo|SP
02360281|02360281|Jardim Fontalis|São Paulo|SP
02371020|02375170|Vila Albertina|São Paulo|SP
02408000|02408000|Água Fria|São Paulo|SP
02417122|02417122|Jardim Paraíso|São Paulo|SP
02420030|02420030|Parque Mandaqui|São Paulo|SP
02435010|02441070|Lauzane Paulista|São Paulo|SP
02467103|02467103|Imirim|São Paulo|SP
02468075|02468075|Vila Romero|São Paulo|SP
02472050|02472050|Imirim|São Paulo|SP
02514050|02516040|Casa Verde|São Paulo|SP
02545120|02545120|Casa Verde Alta|São Paulo|SP
02551110|02551110|Limão|São Paulo|SP
02672010|02672010|Jardim Peri Novo|São Paulo|SP
02757100|02757100|Vila Bancária Munhoz|São Paulo|SP
02759040|02759040|Vila Acre|São Paulo|SP
02765080|02765080|Vila Hebe|São Paulo|SP
02831040|02831040|Itaberaba|São Paulo|SP
02832210|02832210|Parque São Luís|São Paulo|SP
02871040|02871040|Jardim Ondina|São Paulo|SP
02873011|02873011|Conjunto Promorar Estrada da Parada|São Paulo|SP
02882140|02882140|Jardim Centenário|São Paulo|SP
02916010|02916010|Vila Barreto|São Paulo|SP
02932010|02932010|Vila Pereira Cerca|São Paulo|SP
02966000|02966000|Vila Yara|São Paulo|SP
02968010|02968010|Vila Miriam|São Paulo|SP
02990325|02990325|Jardim Donária|São Paulo|SP
02994060|02994060|Jardim Bandeirantes (Zona Norte)|São Paulo|SP
02997001|02997001|Estância Jaraguá|São Paulo|SP
03124070|03124070|Parque da Mooca|São Paulo|SP
03152030|03152030|Quinta da Paineira|São Paulo|SP
03164120|03169901|Mooca|São Paulo|SP
03192010|03192010|Vila Oratório|São Paulo|SP
03223000|03223000|Jardim Independência|São Paulo|SP
03251090|03251090|Vila Industrial|São Paulo|SP
03254210|03254210|Vila São Nicolau|São Paulo|SP
03265140|03265140|Vila Divina Pastora|São Paulo|SP
03268070|03268070|Vila Tolstoi|São Paulo|SP
03272040|03272040|Parque Luis Mucciolo|São Paulo|SP
03273120|03273120|Vila Santa Clara|São Paulo|SP
03324080|03324080|Vila Gomes Cardim|São Paulo|SP
03366000|03366000|Vila Formosa|São Paulo|SP
03382040|03382040|Chácara Belenzinho|São Paulo|SP
03385060|03385060|Parque Santo Antônio|São Paulo|SP
03408029|03408029|Chácara Santo Antônio (Zona Leste)|São Paulo|SP
03427010|03427010|Vila Carrão|São Paulo|SP
03433000|03433000|Vila Fernandes|São Paulo|SP
03441010|03441010|Vila Carrão|São Paulo|SP
03451000|03451000|Parque Maria Luiza|São Paulo|SP
03505020|03505020|Vila Aricanduva|São Paulo|SP
03516060|03516060|Vila Matilde|São Paulo|SP
03541005|03541005|Vila Guilhermina|São Paulo|SP
03551060|03551060|Cidade Patriarca|São Paulo|SP
03570310|03570310|Parque Savoy City|São Paulo|SP
03572170|03572170|Jardim Santa Terezinha (Zona Leste)|São Paulo|SP
03574060|03574060|Jardim Santa Maria|São Paulo|SP
03579280|03579280|Jardim Marília|São Paulo|SP
03581190|03581190|Jardim Fernandes|São Paulo|SP
03583100|03583100|Jardim Brasília (Zona Leste)|São Paulo|SP
03607040|03607040|Vila São Geraldo|São Paulo|SP
03644003|03644003|Vila Beatriz|São Paulo|SP
03651040|03651040|Vila Esperança|São Paulo|SP
03688130|03688130|Jardim Nordeste|São Paulo|SP
03693040|03693040|Jardim Coimbra|São Paulo|SP
03711007|03712040|Cangaíba|São Paulo|SP
03716100|03716100|Jardim Piratininga|São Paulo|SP
03721036|03721036|Engenheiro Goulart|São Paulo|SP
03807160|03807160|Vila Paranaguá|São Paulo|SP
03813390|03813390|Vila Santa Inês|São Paulo|SP
03906080|03906080|Jardim Caguassu|São Paulo|SP
03908010|03908020|Jardim Novo Carrão|São Paulo|SP
03934075|03934075|Jardim Imperador (Zona Leste)|São Paulo|SP
03938171|03938171|Jardim Paraguaçu|São Paulo|SP
03940070|03940070|Jardim São Gabriel|São Paulo|SP
03977170|03977170|Conjunto Habitacional Marechal Mascarenhas de Mora|São Paulo|SP
03983110|03983110|Jardim Planalto|São Paulo|SP
03986050|03986050|Vila Alzira|São Paulo|SP
03987100|03987100|Vila Portuguesa|São Paulo|SP
04012902|04020041|Vila Mariana|São Paulo|SP
04023020|04023020|Vila Clementino|São Paulo|SP
04030060|04030060|Ibirapuera|São Paulo|SP
04042010|04042010|Vila Clementino|São Paulo|SP
04052040|04052040|Mirandópolis|São Paulo|SP
04064004|04064004|Planalto Paulista|São Paulo|SP
04087907|04087907|Indianópolis|São Paulo|SP
