Cep Inicial|Cep Final|Cidade|Estado
01029901|05883260|São Paulo|SP
06018010|06273970|Osasco|SP
06351430|06386060|Carapicuíba|SP
06410040|06447070|Barueri|SP
06503115|06543085|Santana de Parnaíba|SP
06612005|06624300|Jandira|SP
06657430|06683525|Itapevi|SP
06700170|06729990|Cotia|SP
06754904|06787595|Taboão da Serra|SP
06803005|06843463|Embu das Artes|SP
06851360|06886505|Itapecerica da Serra|SP
07021010|07272260|Guarulhos|SP
07400790|07435705|Arujá|SP
07700050|07749155|Caieiras|SP
07756600|07791842|Cajamar|SP
07810160|07845210|Franco da Rocha|SP
07902200|07996100|Francisco Morato|SP
08010350|08490627|São Paulo|SP
08507032|08545210|Ferraz de Vasconcelos|SP
08557260|08565310|Poá|SP
08572680|08599480|Itaquaquecetuba|SP
08610100|08692015|Suzano|SP
08717050|08832030|Mogi das Cruzes|SP
09050070|09272434|Santo André|SP
09320771|09370210|Mauá|SP
09400080|09445200|Ribeirão Pires|SP
09520440|09580540|São Caetano do Sul|SP
09625000|09896280|São Bernardo do Campo|SP
09910030|09990104|Diadema|SP
11010120|11095550|Santos|SP
11330770|11390590|São Vicente|SP
11445450|11461540|Guarujá|SP
11500170|11570000|Cubatão|SP
11661210|11677560|Caraguatatuba|SP
11700805|11724250|Praia Grande|SP
12040630|12095200|Taubaté|SP
12209270|12248515|São José dos Campos|SP
12285405|12295232|Caçapava|SP
12301611|12340601|Jacareí|SP
12400210|12442440|Pindamonhangaba|SP
12503710|12518290|Guaratinguetá|SP
12600560|12610205|Lorena|SP
12702065|12721628|Cruzeiro|SP
12900430|12926332|Bragança Paulista|SP
12940060|12954739|Atibaia|SP
13025240|13107118|Campinas|SP
13142486|13148066|Paulínia|SP
13174590|13181660|Sumaré|SP
13183218|13187051|Hortolândia|SP
13205180|13219281|Jundiaí|SP
13220070|13225572|Várzea Paulista|SP
13231900|13236221|Campo Limpo Paulista|SP
13251280|13257875|Itatiba|SP
13273157|13279010|Valinhos|SP
13301101|13313212|Itu|SP
13315971|13315971|Cabreúva|SP
13320550|13327482|Salto|SP
13331637|13348837|Indaiatuba|SP
13401816|13432560|Piracicaba|SP
13450018|13458188|Santa Bárbara D'Oeste|SP
13465289|13478170|Americana|SP
13480223|13487477|Limeira|SP
13503008|13506726|Rio Claro|SP
13560905|13573400|São Carlos|SP
13601342|13609510|Araras|SP
13610360|13617743|Leme|SP
13630105|13641043|Pirassununga|SP
13732419|13737120|Mococa|SP
13755000|13755000|São Benedito das Areias (Mococa)|SP
13800057|13807490|Mogi Mirim|SP
13840121|13848871|Mogi Guaçu|SP
13871097|13876842|São João da Boa Vista|SP
13900271|13905467|Amparo|SP
13972263|13976405|Itapira|SP
14021729|14098834|Ribeirão Preto|SP
14161187|14177159|Sertãozinho|SP
14401253|14412310|Franca|SP
14700409|14710152|Bebedouro|SP
14781145|14784339|Barretos|SP
14800556|14807341|Araraquara|SP
14875456|14875456|Jaboticabal|SP
15015500|15093683|São José do Rio Preto|SP
15503114|15506072|Votuporanga|SP
