CEP|Tipo_Logradouro|Logradouro|Complemento|Local|Bairro|Cidade|cod_cidade|UF|Estado|cod_estado|Latitude|Longitude
01029901||Rua Florêncio de Abreu 157||Edifício São Bento|Centro|São Paulo|3550308|SP|São Paulo|35|-23.5427230|-46.6332583
01227200|Avenida|Angélica|- de 1711 ao fim - lado ímpar||Consolação|São Paulo|3550308|SP|São Paulo|35|-23.5475983|-46.6587135
01251000|Rua|Cardoso de Almeida|- de 1690 ao fim - lado par||Sumaré|São Paulo|3550308|SP|São Paulo|35|-23.5443440|-46.6733857
01255010|Rua|Antonina|||Sumaré|São Paulo|3550308|SP|São Paulo|35|-23.5474499|-46.6817876
01308040|Rua|São Miguel|||Bela Vista|São Paulo|3550308|SP|São Paulo|35|-23.5279687|-46.3963275
01311914||Avenida Paulista 777||Edifício Viking|Bela Vista|São Paulo|3550308|SP|São Paulo|35|-23.5668075|-46.6506635
01332906||Alameda Rio Claro 190||Edifício Humberto Primo|Bela Vista|São Paulo|3550308|SP|São Paulo|35|-23.5612732|-46.6528098
01416902||Rua da Consolação 3064||Edifício Jardim América|Cerqueira César|São Paulo|3550308|SP|São Paulo|35|-23.5594957|-46.6670544
01426040|Travessa|das Estrelas Novas|||Cerqueira César|São Paulo|3550308|SP|São Paulo|35|-23.5681711|-46.6636719
01501001|Praça|Doutor João Mendes|- lado ímpar||Centro|São Paulo|3550308|SP|São Paulo|35|-23.5520321|-46.6342435
01543000|Rua|Heitor Peixoto|- até 429/430||Cambuci|São Paulo|3550308|SP|São Paulo|35|-23.5751117|-46.6230726
01546120|Rua|São João Del Rei|||Jardim da Glória|São Paulo|3550308|SP|São Paulo|35|-23.5748054|-46.6226952
02072001|Avenida|Conceição|- de 911/912 a 1573/1574||Carandiru|São Paulo|3550308|SP|São Paulo|35|-23.5006657|-46.6046560
02084150|Rua|Articura|||Vila Isolina Mazzei|São Paulo|3550308|SP|São Paulo|35|-23.4948976|-46.5995672
02119020|Rua|Prefeito Milton Improta|- até 309/310||Vila Maria Baixa|São Paulo|3550308|SP|São Paulo|35|-23.5133951|-46.5928896
02123005|Travessa|Manuel Lainez|||Jardim Japão|São Paulo|3550308|SP|São Paulo|35|-23.5140619|-46.5808665
02131040|Rua|Hiroshima|||Vila Maria Alta|São Paulo|3550308|SP|São Paulo|35|-23.5042516|-46.5817681
02138000|Praça|Lourenço Billis|||Vila Sabrina|São Paulo|3550308|SP|São Paulo|35|-23.4891721|-46.5744147
02140030|Rua|Antionha|||Vila Sabrina|São Paulo|3550308|SP|São Paulo|35|-23.4882706|-46.5721108
02147015|Praça|Cláudio Leonardi|||Parque Novo Mundo|São Paulo|3550308|SP|São Paulo|35|-23.4994499|-46.5651200
02190080|Rua|João de Lara da Cunha|||Parque Novo Mundo|São Paulo|3550308|SP|São Paulo|35|-23.5091613|-46.5631782
02201020|Rua|Alípio de Sousa|||Vila Gustavo|São Paulo|3550308|SP|São Paulo|35|-23.4854880|-46.5916258
02207080|Rua|Carlos Alberto Luiz|||Vila Medeiros|São Paulo|3550308|SP|São Paulo|35|-23.4860622|-46.5868010
02209150|Travessa|Ana Ferrara|||Vila Medeiros|São Paulo|3550308|SP|São Paulo|35|-23.4857663|-46.5816901
02216060|Rua|Armando Paim|||Vila Medeiros|São Paulo|3550308|SP|São Paulo|35|-23.4944860|-46.5797305
02217020|Rua|Joaquim de Souza Pacheco Filho|||Vila Medeiros|São Paulo|3550308|SP|São Paulo|35|-23.4896048|-46.5811344
02221140|Travessa|Carlos Cardin|||Jardim Brasil (Zona Norte)|São Paulo|3550308|SP|São Paulo|35|-23.4856877|-46.5785867
