id_bairro|bairro|cidade
0|-|
25|Floresta Sul|Rio Branco
29|Isaura Parente|Rio Branco
36|Morada do Sol|Rio Branco
45|Quinze|Rio Branco
53|Taquarí|Rio Branco
59|Alto do Cruzeiro|Arapiraca
61|Baixão|Arapiraca
67|Canafístula|Arapiraca
79|Olho D'Água dos Cazuzinhos|Arapiraca
81|Planalto|Arapiraca
82|Zélia Barbosa Rocha|Arapiraca
85|Santa Esmeralda|Arapiraca
91|Antares|Maceió
92|Barro Duro|Maceió
93|Bebedouro|Maceió
95|Benedito Bentes|Maceió
100|Cruz das Almas|Maceió
101|Farol|Maceió
102|Feitosa|Maceió
107|Jacarecica|Maceió
108|Jacintinho|Maceió
118|Poço|Maceió
119|Ponta da Terra|Maceió
120|Ponta Grossa|Maceió
122|Pontal da Barra|Maceió
124|Riacho Doce|Maceió
126|Santa Amélia|Maceió
129|Tabuleiro do Martins|Maceió
130|Trapiche da Barra|Maceió
133|Centro|Palmeira dos Índios
140|São Cristóvão|Palmeira dos Índios
144|Vila Maria|Palmeira dos Índios
147|Adrianópolis|Manaus
148|Aleixo|Manaus
149|Alvorada|Manaus
151|Armando Mendes|Manaus
154|Centro|Manaus
156|Cidade Nova|Manaus
157|Colônia Antônio Aleixo|Manaus
160|Colônia Terra Nova|Manaus
161|Compensa|Manaus
162|Coroado|Manaus
164|Distrito Industrial I|Manaus
165|Dom Pedro I|Manaus
167|Flores|Manaus
169|Japiim|Manaus
170|Jorge Teixeira|Manaus
172|Mauazinho|Manaus
173|Monte das Oliveiras|Manaus
177|Novo Israel|Manaus
178|Parque 10 de Novembro|Manaus
179|Paz|Manaus
180|Petrópolis|Manaus
183|Praça 14 de Janeiro|Manaus
186|Raiz|Manaus
187|Redenção|Manaus
188|Santa Etelvina|Manaus
190|Santo Agostinho|Manaus
192|São Francisco|Manaus
194|São Jorge|Manaus
195|São José Operário|Manaus
196|São Lázaro|Manaus
198|Tancredo Neves|Manaus
199|Tarumã|Manaus
202|Zumbi dos Palmares|Manaus
203|Centro|Parintins
204|Djard Vieira|Parintins
218|Congós|Macapá
220|Jardim Felicidade|Macapá
221|Jardim Marco Zero|Macapá
222|Jesus de Nazaré|Macapá
230|São Lázaro|Macapá
240|Kennedy|Alagoinhas
245|Santa Terezinha|Alagoinhas
262|São Miguel|Barreiras
270|Vila Rica|Barreiras
279|Dois de Julho|Camaçari
282|Gleba B|Camaçari
308|Nova Brasília|Candeias
318|Centro|Eunápolis
319|Doutor Gusmão|Eunápolis
322|Juca Rosa|Eunápolis
324|Moisés Reis|Eunápolis
328|Santa Lúcia|Eunápolis
340|São João|Feira de Santana
341|Campo Limpo|Feira de Santana
345|Centro|Feira de Santana
349|Conceição|Feira de Santana
358|Jardim Cruzeiro|Feira de Santana
371|Pampalona|Feira de Santana
397|Rua Nova|Feira de Santana
398|Santa Mônica|Feira de Santana
399|Santo Antônio dos Prazeres|Feira de Santana
404|Calumbi|Feira de Santana
406|Tomba|Feira de Santana
408|Gabriela|Feira de Santana
422|Basílio|Ilhéus
430|Conquista|Ilhéus
441|Nelson Costa|Ilhéus
463|Alto Maron|Itabuna
469|Centro|Itabuna
470|Centro Comercial|Itabuna
478|Jaçanã|Itabuna
490|Nova Califórnia|Itabuna
492|Nova Itabuna|Itabuna
495|Novo Horizonte|Itabuna
503|Pedro Gerônimo|Itabuna
510|São Caetano|Itabuna
547|Jequiezinho|Jequié
548|Joaquim Romão|Jequié
569|Alto da Maravilha|Juazeiro
601|Tabuleiro|Juazeiro
604|Abel Barbosa|Paulo Afonso
617|Tancredo Neves I|Paulo Afonso
619|Tancredo Neves III|Paulo Afonso
623|Acupe de Brotas|Salvador
630|Amaralina|Salvador
632|Arenoso|Salvador
639|Barbalho|Salvador
645|Barroquinha|Salvador
653|Bonfim|Salvador
655|Brotas|Salvador
658|Caixa D'Água|Salvador
659|Cajazeiras|Salvador
661|Calabetão|Salvador
662|Calçada|Salvador
664|Caminho de Areia|Salvador
666|Campinas de Brotas|Salvador
667|Campinas de Pirajá|Salvador
668|Campo Grande|Salvador
671|Candeal|Salvador
672|Canela|Salvador
673|Capelinha|Salvador
675|Castelo Branco|Salvador
682|Cidade Nova|Salvador
686|Coutos|Salvador
687|Curuzu|Salvador
691|Engenho Velho de Brotas|Salvador
692|Engenho Velho da Federação|Salvador
696|Fazenda Coutos|Salvador
